timestamp_utc,advisor_only,priority,action,ticker,entry,take_profit,stop_loss,confidence,priority_score,outlook_label,outlook_score,source_freshness,model,telegram_sent,reason,warnings
2026-05-25T14:50:21.945470+00:00,True,1,BUY,ACGC.CA,9.65,10.81,9.26,LOW,29.52,BULLISH_WATCH,83.81,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,False,"Local fallback BUY candidate: ACGC.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 64.79, support 6.94, resistance 10.86, and evidence sources. Macro trend is Bearish; this is a signal-only ticket, so choose any position size manually in Thndr.",
2026-05-25T14:50:21.956035+00:00,True,2,BUY,MBSC.CA,280.0,302.4,268.8,LOW,26.4,BULLISH_WATCH,81.69,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,False,"Local fallback BUY candidate: MBSC.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 64.34, support 258.5, resistance 295.0, and evidence sources. Macro trend is Bearish; this is a signal-only ticket, so choose any position size manually in Thndr.",
2026-05-25T14:55:28.978126+00:00,True,1,BUY,MHOT.CA,32.23,34.81,30.94,LOW,32.4,BULLISH_WATCH,95,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,False,"Local fallback BUY candidate: MHOT.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 69.11, support 26.3, resistance 34.3, and evidence sources. Macro trend is Bearish; this is a signal-only ticket, so choose any position size manually in Thndr.",
2026-05-25T14:55:28.986068+00:00,True,2,BUY,ACGC.CA,9.65,10.81,9.26,LOW,29.52,BULLISH_WATCH,83.81,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,False,"Local fallback BUY candidate: ACGC.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 64.79, support 6.94, resistance 10.86, and evidence sources. Macro trend is Bearish; this is a signal-only ticket, so choose any position size manually in Thndr.",
2026-05-25T14:55:28.994579+00:00,True,3,BUY,RAYA.CA,7.65,8.27,7.34,LOW,26.82,BULLISH_WATCH,85,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,False,"Local fallback BUY candidate: RAYA.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 67.41, support 6.07, resistance 8.0, and evidence sources. Macro trend is Bearish; this is a signal-only ticket, so choose any position size manually in Thndr.",
2026-05-25T14:59:48.410832+00:00,True,1,BUY,MHOT.CA,32.23,34.81,30.94,LOW,32.4,BULLISH_WATCH,95,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,True,"Local fallback BUY candidate: MHOT.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 69.11, support 26.3, resistance 34.3, and evidence sources. Macro trend is Bearish; this is a signal-only ticket, so choose any position size manually in Thndr.",
2026-05-25T14:59:48.420831+00:00,True,2,BUY,ACGC.CA,9.65,10.81,9.26,LOW,29.52,BULLISH_WATCH,83.81,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,True,"Local fallback BUY candidate: ACGC.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 64.79, support 6.94, resistance 10.86, and evidence sources. Macro trend is Bearish; this is a signal-only ticket, so choose any position size manually in Thndr.",
2026-05-25T14:59:48.431978+00:00,True,3,BUY,RAYA.CA,7.65,8.27,7.34,LOW,26.82,BULLISH_WATCH,85,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,True,"Local fallback BUY candidate: RAYA.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 67.41, support 6.07, resistance 8.0, and evidence sources. Macro trend is Bearish; this is a signal-only ticket, so choose any position size manually in Thndr.",
2026-05-25T15:51:26.964123+00:00,True,1,BUY,MHOT.CA,32.23,34.81,30.94,LOW,32.4,BULLISH_WATCH,95,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,False,"Local fallback BUY candidate: MHOT.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 69.11, support 26.3, resistance 34.3, and evidence sources. Macro trend is Bearish; this is a signal-only ticket, so choose any position size manually in Thndr.",
2026-05-25T15:51:26.973629+00:00,True,2,BUY,ACGC.CA,9.65,10.81,9.26,LOW,29.52,BULLISH_WATCH,83.81,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,False,"Local fallback BUY candidate: ACGC.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 64.79, support 6.94, resistance 10.86, and evidence sources. Macro trend is Bearish; this is a signal-only ticket, so choose any position size manually in Thndr.",
2026-05-25T15:51:26.982767+00:00,True,3,BUY,RAYA.CA,7.65,8.27,7.34,LOW,26.82,BULLISH_WATCH,85,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,False,"Local fallback BUY candidate: RAYA.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 67.41, support 6.07, resistance 8.0, and evidence sources. Macro trend is Bearish; this is a signal-only ticket, so choose any position size manually in Thndr.",
2026-05-25T15:54:37.060840+00:00,True,1,BUY,MHOT.CA,32.23,34.81,30.94,LOW,32.4,BULLISH_WATCH,95,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,True,"Local fallback BUY candidate: MHOT.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 69.11, support 26.3, resistance 34.3, and evidence sources. Macro trend is Bearish; this is a signal-only ticket, so choose any position size manually in Thndr.",
2026-05-25T15:54:37.071423+00:00,True,2,BUY,ACGC.CA,9.65,10.81,9.26,LOW,29.52,BULLISH_WATCH,83.81,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,True,"Local fallback BUY candidate: ACGC.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 64.79, support 6.94, resistance 10.86, and evidence sources. Macro trend is Bearish; this is a signal-only ticket, so choose any position size manually in Thndr.",
2026-05-25T15:54:37.082444+00:00,True,3,BUY,RAYA.CA,7.65,8.27,7.34,LOW,26.82,BULLISH_WATCH,85,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,True,"Local fallback BUY candidate: RAYA.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 67.41, support 6.07, resistance 8.0, and evidence sources. Macro trend is Bearish; this is a signal-only ticket, so choose any position size manually in Thndr.",
2026-05-25T16:17:08.783115+00:00,True,1,BUY,MHOT.CA,32.23,34.81,30.94,LOW,32.4,BULLISH_WATCH,95,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,False,"WATCH/BUY SETUP: MHOT.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 69.11, support 26.3, resistance 34.3, and evidence sources. Macro trend is Bearish; verify price action in Thndr before treating it as a swing entry.",
2026-05-25T16:17:08.796135+00:00,True,2,BUY,ACGC.CA,9.65,10.81,9.26,LOW,29.52,BULLISH_WATCH,83.81,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,False,"WATCH/BUY SETUP: ACGC.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 64.79, support 6.94, resistance 10.86, and evidence sources. Macro trend is Bearish; verify price action in Thndr before treating it as a swing entry.",
2026-05-25T16:17:08.808631+00:00,True,3,BUY,RAYA.CA,7.65,8.27,7.34,LOW,26.82,BULLISH_WATCH,85,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,False,"WATCH/BUY SETUP: RAYA.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 67.41, support 6.07, resistance 8.0, and evidence sources. Macro trend is Bearish; verify price action in Thndr before treating it as a swing entry.",
2026-05-25T16:20:28.497946+00:00,True,1,BUY,MHOT.CA,32.23,34.81,30.94,LOW,32.4,BULLISH_WATCH,95,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,True,"WATCH/BUY SETUP: MHOT.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 69.11, support 26.3, resistance 34.3, and evidence sources. Macro trend is Bearish; verify price action in Thndr before treating it as a swing entry.",
2026-05-25T16:20:28.508897+00:00,True,2,BUY,ACGC.CA,9.65,10.81,9.26,LOW,29.52,BULLISH_WATCH,83.81,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,True,"WATCH/BUY SETUP: ACGC.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 64.79, support 6.94, resistance 10.86, and evidence sources. Macro trend is Bearish; verify price action in Thndr before treating it as a swing entry.",
2026-05-25T16:20:28.522472+00:00,True,3,BUY,RAYA.CA,7.65,8.27,7.34,LOW,26.82,BULLISH_WATCH,85,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,True,"WATCH/BUY SETUP: RAYA.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 67.41, support 6.07, resistance 8.0, and evidence sources. Macro trend is Bearish; verify price action in Thndr before treating it as a swing entry.",
2026-05-25T16:36:09.410549+00:00,True,1,BUY,MHOT.CA,32.23,34.81,30.94,LOW,32.4,BULLISH_WATCH,95,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,False,"WATCH/BUY SETUP: MHOT.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 69.11, support 26.3, resistance 34.3, and evidence sources. Macro trend is Bearish; verify price action in Thndr before treating it as a swing entry.",
2026-05-25T16:36:09.419088+00:00,True,2,BUY,ACGC.CA,9.65,10.81,9.26,LOW,29.52,BULLISH_WATCH,83.81,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,False,"WATCH/BUY SETUP: ACGC.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 64.79, support 6.94, resistance 10.86, and evidence sources. Macro trend is Bearish; verify price action in Thndr before treating it as a swing entry.",
2026-05-25T16:36:09.427137+00:00,True,3,BUY,RAYA.CA,7.65,8.27,7.34,LOW,26.82,BULLISH_WATCH,85,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,False,"WATCH/BUY SETUP: RAYA.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 67.41, support 6.07, resistance 8.0, and evidence sources. Macro trend is Bearish; verify price action in Thndr before treating it as a swing entry.",
2026-05-25T16:39:31.713779+00:00,True,1,BUY,MHOT.CA,32.23,34.81,30.94,LOW,32.4,BULLISH_WATCH,95,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,True,"WATCH/BUY SETUP: MHOT.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 69.11, support 26.3, resistance 34.3, and evidence sources. Macro trend is Bearish; verify price action in Thndr before treating it as a swing entry.",
2026-05-25T16:39:31.721276+00:00,True,2,BUY,RAYA.CA,7.65,8.27,7.34,LOW,26.82,BULLISH_WATCH,85,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,True,"WATCH/BUY SETUP: RAYA.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 67.41, support 6.07, resistance 8.0, and evidence sources. Macro trend is Bearish; verify price action in Thndr before treating it as a swing entry.",
2026-05-25T16:39:31.728276+00:00,True,3,BUY,MBSC.CA,280.0,302.4,268.8,LOW,26.4,BULLISH_WATCH,81.69,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,True,"WATCH/BUY SETUP: MBSC.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 64.34, support 258.5, resistance 295.0, and evidence sources. Macro trend is Bearish; verify price action in Thndr before treating it as a swing entry.",
2026-05-25T17:02:32.864949+00:00,True,1,BUY,MHOT.CA,32.23,34.81,30.94,LOW,32.4,BULLISH_WATCH,95,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,True,"WATCH/BUY SETUP: MHOT.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 69.11, support 26.3, resistance 34.3, and evidence sources. Macro trend is Bearish; verify price action in Thndr before treating it as a swing entry.",
2026-05-25T17:02:32.873825+00:00,True,2,BUY,ACGC.CA,9.65,10.81,9.26,LOW,29.52,BULLISH_WATCH,83.81,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,True,"WATCH/BUY SETUP: ACGC.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 64.79, support 6.94, resistance 10.86, and evidence sources. Macro trend is Bearish; verify price action in Thndr before treating it as a swing entry.",
2026-05-25T17:02:32.883337+00:00,True,3,BUY,RAYA.CA,7.65,8.27,7.34,LOW,26.82,BULLISH_WATCH,85,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,True,"WATCH/BUY SETUP: RAYA.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 67.41, support 6.07, resistance 8.0, and evidence sources. Macro trend is Bearish; verify price action in Thndr before treating it as a swing entry.",
2026-05-25T17:08:55.874658+00:00,True,,HOLD,,0,0,0,LOW,,,,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,False,"Local scanner HOLD: EGX30/EGX70 regime and sector breadth are defensive, so no new BUY is allowed.",
2026-05-25T17:11:34.333009+00:00,True,,HOLD,,0,0,0,LOW,,,,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,False,"Local scanner HOLD: EGX30/EGX70 regime and sector breadth are defensive, so no new BUY is allowed.",
2026-05-25T17:13:29.645218+00:00,True,,HOLD,,0,0,0,LOW,,,,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,True,"Local scanner HOLD: EGX30/EGX70 regime and sector breadth are defensive, so no new BUY is allowed.",
2026-05-27T17:04:56.369728+00:00,True,1,BUY,MHOT.CA,30.6,34.13,29.38,LOW,32.46,BULLISH_WATCH,99,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,True,"WATCH/BUY SETUP: MHOT.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 62.31, support 26.3, resistance 34.3, and evidence sources. Macro trend is Bullish; market regime is SELECTIVE_SMALL_MID_SWINGS; verify price action in Thndr before treating it as a swing entry.",
2026-05-27T17:04:56.384019+00:00,True,2,BUY,SPMD.CA,0.41,0.45,0.39,LOW,29.44,BULLISH_WATCH,88.39,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,True,"WATCH/BUY SETUP: SPMD.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 61.05, support 0.35, resistance 0.43, and evidence sources. Macro trend is Bullish; market regime is SELECTIVE_SMALL_MID_SWINGS; verify price action in Thndr before treating it as a swing entry.",
2026-05-27T17:04:56.398575+00:00,True,3,BUY,MBSC.CA,272.96,293.52,264.5,LOW,27.86,BULLISH_WATCH,100,market_context=DELAYED; fresh_tickers=190/190,gemini-2.5-flash,True,"WATCH/BUY SETUP: MBSC.CA has fresh Yahoo price data, liquidity above threshold, price above MA20/MA50, RSI 60.57, support 258.5, resistance 295.0, and evidence sources. Macro trend is Bullish; market regime is SELECTIVE_SMALL_MID_SWINGS; verify price action in Thndr before treating it as a swing entry.",
2026-06-01T06:44:32.093669+00:00,True,,HOLD,,0,0,0,LOW,,,,market_context=DELAYED; fresh_tickers=189/190,gemini-2.5-flash,True,"Local fallback HOLD: no candidate passed evidence, liquidity, freshness, and technical gates.",
